"","(Intercept)","beta_1","alpha_1","pi"
"155",0.745734713049819,0.318526285824341,0.26823249509911,0.416866056315469
"156",0.837598333175048,0.248870896947035,0.365308843970536,0.500230888902666
"157",0.583838387030524,0.254704289965735,0.445330384372286,0.436042990623168
"158",0.579698194147222,0.266950948607041,0.448706819766411,0.47718219684771
"159",0.667893405474158,0.31586738475158,0.362885801051437,0.472873557572858
"160",0.682868723821804,0.350979999701336,0.298709319672126,0.34774358669616
"161",0.589497389092603,0.324027545482273,0.409762051880664,0.346491149828105
"162",0.651619533799466,0.255649174128704,0.410942862205779,0.433916903167789
"163",0.410435589254981,0.254359937219941,0.513341131437055,0.329741834762402
"164",0.54772731455642,0.317935419222444,0.404669662250687,0.509532744207354
"165",0.534139367752346,0.302247776964851,0.446106134383594,0.430574717484911
"166",0.563763907541815,0.327103421544953,0.410478858570671,0.432099371352555
"167",0.50170638198773,0.269370230742115,0.495558629331571,0.370869427909917
"168",0.602021092454875,0.326930437105565,0.377648850409187,0.428057885638393
"169",0.671307834642019,0.322249869355482,0.350278717702382,0.314571664708148
"170",0.579242436586057,0.29399697578381,0.423854206467142,0.45763971159832
"171",0.789172573407735,0.30645250366958,0.30665010768652,0.430705690559998
"172",0.904232125140449,0.307104219267203,0.243458180878335,0.341491832798793
"173",0.777686885631751,0.268184014059525,0.32318300871351,0.394722701859153
"174",0.515432452138709,0.300586427442587,0.441760514255683,0.420029270764362
"175",0.679211860928373,0.297845360342181,0.337120991852247,0.337942905705191
"176",0.61768344938874,0.276466257575746,0.41803050124824,0.479468825329344
"177",0.489261121571587,0.185543891372731,0.551930213108624,0.309028919961362
"178",0.721921198850786,0.280052108036419,0.330523240988805,0.349790640950639
"179",0.537387328518987,0.346120694554655,0.418136603633304,0.434958378515128
"180",0.848274614561117,0.25178901309912,0.310238092251837,0.472783243376323
"181",0.548541809402845,0.333668680424267,0.392831668741691,0.384867792029556
"182",0.420204671578369,0.231445934497057,0.566811829995256,0.375107334912177
"183",0.634715441572174,0.279020203920804,0.380464574092138,0.394015309372562
"184",0.583027393698452,0.2755799960936,0.433359655766235,0.381690071643977
"185",0.854090312763577,0.342864467519155,0.231287009267239,0.468827363592907
"186",0.591274235622315,0.336617646025282,0.369894782376305,0.363568138524341
"187",0.665575469715608,0.328047589022372,0.350116125401368,0.450714209848406
"188",0.723389576512336,0.306555454406679,0.330841929528785,0.418328543444969
"189",0.585700603886508,0.245865774884925,0.465942169196654,0.3740629785379
"190",0.329159170554935,0.271437451723002,0.573132962392075,0.398753032396025
"191",0.672796297832566,0.312409340894478,0.330990930328222,0.42790049393396
"192",0.575443191752484,0.274209566948163,0.434614871737515,0.4507486435857
"193",0.746110213408571,0.370913673872999,0.21930272916989,0.357754216721072
"194",0.672274674719455,0.34704833354787,0.312715142233442,0.387999402016236
"195",0.619439721538884,0.241663147138845,0.449866574737553,0.384140330765748
"196",0.578064074021866,0.309299766548937,0.404269850825035,0.470914153581854
"197",0.486992871155922,0.239013590828005,0.52059565485584,0.324461278277109
"198",0.767295085302769,0.32653207618993,0.300774954610544,0.41622794634765
"199",0.412555580689366,0.240216070770659,0.55264942379127,0.369497112775538
"200",0.607904749386974,0.327389436702368,0.325993766440758,0.409077986886374
"201",0.767749971125551,0.294274969912052,0.308104770275346,0.395063762710881
"202",0.558117253086356,0.279495607467589,0.428424658833619,0.366581756669885
"203",0.62523078731393,0.323954799453285,0.359942728690926,0.349907409045412
"204",0.52508237811411,0.298550632018793,0.452283709953955,0.368279876769847
"205",0.722292632622274,0.333442667863322,0.28996045280509,0.408374133318139
"206",0.612559465904111,0.321688864159021,0.379654464151676,0.480821347506959
"207",0.558654950900275,0.364071383828196,0.349262274596502,0.40130705179653
"208",0.68875337092869,0.351046486322758,0.329772994950887,0.459559820109068
"209",0.384923156897047,0.280371120309875,0.515272793048533,0.40099692964865
"210",0.703094106083983,0.274855338837528,0.366547406585727,0.38924650050697
"211",0.667423299010466,0.306241059303653,0.369932718736046,0.364838942561578
"212",0.644707324046028,0.287942395448399,0.373257433960167,0.319053705449086
"213",0.659752301228751,0.260710322475363,0.412114552892874,0.423659579238638
"214",0.711897043345792,0.289051749424285,0.343159153604279,0.4555805278653
"215",0.648515876702133,0.267161209725829,0.405799320557106,0.394061437980405
"216",0.488867502481335,0.286114750958518,0.49062484310526,0.355608617792473
"217",0.641784458133968,0.322509063267888,0.376472479253001,0.395731316646162
"218",0.539325624914353,0.273333325838855,0.439390401054049,0.352286096668558
"219",0.726072978466776,0.295890883802127,0.316661038444633,0.393258450516362
"220",0.647477639756497,0.31522727426888,0.384829419842168,0.339133319931907
"221",0.720995764897785,0.315256892427966,0.323167249186203,0.362820199774557
"222",0.546092150585787,0.24873834347183,0.465928926570145,0.384880361616336
"223",0.739220075661839,0.279027921088047,0.370240949367675,0.458145659630073
"224",0.506377953114338,0.261406533052619,0.485823376959023,0.38072890057141
"225",0.811785466419351,0.347483071690418,0.25496523342712,0.419467083697021
"226",0.484187820548017,0.303066174097795,0.464863191134742,0.376738340249213
"227",0.546812736811506,0.289515567434139,0.446582659414711,0.460818130083911
"228",0.429729963411436,0.224446418621867,0.554208796505905,0.361314260204704
"229",0.94888040927327,0.328000639030497,0.241403978029456,0.43623591314116
"230",0.673192151615734,0.328062911199338,0.345367007655681,0.387056378736341
"231",0.641758308852302,0.368116879474324,0.297232953984912,0.426400858405538
"232",0.589513028219854,0.251537840631663,0.442519770985946,0.382083805396664
"233",0.551669500943848,0.347183293650259,0.407363199076371,0.484868288436088
"234",0.388683348799518,0.21309995239456,0.565460896649521,0.315602999249235
"235",0.588173939609264,0.265498916190021,0.435314296098556,0.438995778837323
"236",0.558934953457171,0.302998164404527,0.426709267343985,0.413774303951841
"237",0.757826773438988,0.280024869825655,0.337631711812153,0.445485902320038
"238",0.740908196137906,0.321899922137207,0.29480539617395,0.294033391691821
"239",0.518396871550263,0.280065885749239,0.462527995549044,0.400330929435915
"240",0.878092068710868,0.295310486946836,0.278774152011746,0.407336240068469
"241",0.458534615603645,0.294298532511627,0.480504252905317,0.440570291670375
"242",0.378528971073557,0.265946500530663,0.54101653817745,0.396339867078182
"243",0.47869280632484,0.280782793586146,0.478954911943611,0.411183214284555
"244",0.499173020350892,0.308930651471581,0.431369053127322,0.350466619500459
"245",0.408264016953282,0.286048679232165,0.51294439222784,0.432690679325154
"246",1.18435185614005,0.339922037309022,0.0943293455851268,0.393360637962042
"247",0.747147374228551,0.276939774752861,0.339895862987454,0.376731393010794
"248",0.538025713701669,0.32364099485293,0.4204908475443,0.359898000867021
"249",0.588517993644045,0.247885036776935,0.434855968191842,0.338238213884497
"250",0.589315878228097,0.293967976702731,0.381980809212645,0.359361487224407
"251",0.568002212508991,0.285898882992945,0.429195520316155,0.389654571410957
"252",0.492804048841524,0.282345205669631,0.46962342338681,0.388453452297795
"253",0.367395291990144,0.278936416226153,0.529826555714363,0.32393520970734
