"","(Intercept)","beta_1","alpha_1"
"81",0.283483953732971,0.0460423882879875,0.178690899749212
"82",0.0291508836692914,0.0282625861617397,0.0332528635874859
"83",0.299624297676295,0.0443062253423761,0.17929015518274
"84",0.482274141859186,0.0447249711273902,0.299721800781231
"85",0.285533068527926,0.0468790244451456,0.168559040810408
"86",0.126416076131038,0.0419663511748856,0.0976536104408966
"87",0.146653842756144,0.0415726202215143,0.104733500333874
"88",0.10653994963874,0.037834872855004,0.082026159990617
"89",0.246105113556294,0.0465055500726177,0.149654018367346
"90",0.24908523217203,0.0451075464326124,0.157600480393046
"91",0.297659008562183,0.0466156285986307,0.181468103677473
"92",0.279405845456806,0.0447563005284169,0.17614188550915
"93",0.341790067553821,0.04445542402889,0.212134166839092
"94",0.45257120308611,0.044647479676022,0.25661642890691
"95",0.262560936298851,0.0436533949257545,0.155286763459867
"96",0.372547969036432,0.0458385638776712,0.229981480319091
"97",0.169714617674978,0.042892483970037,0.119994852321827
"98",0.32270038421914,0.0459391158491214,0.186717381480626
"99",0.240394465087422,0.0433233193116262,0.152021841154607
"100",0.233667039628834,0.0476051188980243,0.144957051792771
"101",0.118336386715354,0.0412727723481154,0.0948623588369769
"102",0.274633812035774,0.0457742678556931,0.169571993566469
"103",0.235673023529252,0.0457354018425028,0.151701494018567
"104",0.167881751355226,0.0443767156755319,0.118854142732351
"105",0.29371004939048,0.0457664556432082,0.196664742826245
"106",0.374028090201445,0.0462775402073251,0.23083876042585
"107",0.21031435319501,0.0455883968701776,0.142814453570649
"108",0.260759537621414,0.0447978764286678,0.168278679587979
"109",0.200112199378512,0.0417135586958955,0.136468672158425
"110",0.154311711014198,0.0415375402835342,0.11284763099368
"111",0.193368058430108,0.0455904206531501,0.123130109932439
"112",0.284525328958311,0.0437448796348034,0.171089906107121
"113",0.157819408481402,0.042012780273219,0.107497731300119
"114",0.216367713780418,0.0432501996053904,0.1458766231622
"115",0.250652664323745,0.0404993343725787,0.164695433342697
"116",0.259543184840696,0.0453581897030874,0.153832598780719
"117",0.33657438374809,0.0437872382699308,0.219834845018693
"118",0.223175791016172,0.044818069650778,0.155942195754568
"119",0.168360729692123,0.044970467909505,0.121133422779585
"120",0.262912172059136,0.0438780187447386,0.176071332281885
"121",0.213977731042173,0.0427767854022913,0.136375269233093
"122",0.284029999471122,0.0442924077888503,0.178766223461742
"123",0.278625551014052,0.0453432997264919,0.167071629445493
"124",0.325648870350148,0.0473061339762287,0.212097584291532
"125",0.236708293615076,0.0443392046716899,0.143975591341983
"126",0.287114460636149,0.0452013323204132,0.185586604767446
"127",0.206095752032627,0.0456035591062263,0.133977054111711
"128",0.260783577036847,0.0466093176826801,0.173041271171679
"129",0.165109669154323,0.0444602720179069,0.11130302138773
"130",0.309163500428143,0.0442385630060023,0.20333058832878
"131",0.212452772738005,0.0451453037482334,0.133233668607633
"132",0.306835747254641,0.0442390327162487,0.197476605405427
"133",0.441789957595999,0.0471596461971847,0.297624512802163
"134",0.242135716356567,0.0435538760081889,0.158180948550404
"135",0.286896223669783,0.0413163649523334,0.186930413383528
"136",0.208710226197025,0.0437607339088661,0.136615787684412
"137",0.0889879465932444,0.0357275417706011,0.0724347659878357
"138",0.247039875349157,0.0477461274867884,0.14699816990369
"139",0.251079786931787,0.0440484989451783,0.160933405016071
"140",0.271773352157525,0.0441404482917794,0.1696434597675
"141",0.15670789373129,0.0414759660864334,0.104988013730776
"142",0.181184567516577,0.0445077319416191,0.124942471524677
"143",0.263794809749396,0.0456151181924446,0.156007687232101
"144",0.403631792126108,0.0430601867279828,0.269501294347091
"145",0.28558303384175,0.0433266301735073,0.182322621322596
"146",0.275313696287486,0.0454418600685089,0.168539286182828
"147",0.231937656248077,0.0441440279144739,0.155042008895015
"148",0.338067589010621,0.0431442739207538,0.18203270937372
"149",0.191367147466966,0.0430173057115918,0.131321243930414
"150",0.28259289557791,0.045040339345583,0.17263821499035
"151",0.401366759638325,0.0447517058125366,0.217694846782032
"152",0.185817830309464,0.0434819465903031,0.137130361637426
