"","(Intercept)","beta_1","alpha_1"
"90",0.156856522176693,0.0374210432977366,0.0987675479619426
"91",0.157225405575727,0.0316406434002568,0.0802792260835412
"92",0.118818651557454,0.0303774379609764,0.0633513227055429
"93",0.0816236576231542,0.0269217380921935,0.0464023666075637
"94",0.104281334860568,0.0356320718278822,0.0715768694847443
"95",0.125147572968183,0.0357078151906298,0.0799858330718226
"96",0.145220602413077,0.0340581172726132,0.0896544960817861
"97",0.119078363987077,0.0349954005385469,0.0779911700938466
"98",0.129138936728948,0.0303716157379609,0.0616792440768685
"99",0.1324276570644,0.0300918050056129,0.0690367006171207
"100",0.18292302194093,0.0365329782317646,0.108380503943642
"101",0.142947891402868,0.0361779640373955,0.0917764878910325
"102",0.0922749096060171,0.0289250691222627,0.053622079802642
"103",0.127022289363996,0.036813299132037,0.0860650047833305
"104",0.116746272659557,0.035203519848782,0.0786828584925022
"105",0.122338529997401,0.0358245521782027,0.0870450286237733
"106",0.115543818876589,0.0302345456691019,0.0635677211807044
"107",0.14666548225148,0.0364434833742861,0.0915545838477473
"108",0.149093954818182,0.0289341213385683,0.0677814514491567
"109",0.110224011697602,0.0291562582673619,0.0614163376013207
"110",0.125653621770553,0.0307328297990154,0.067093519569259
"111",0.125308959627146,0.0303895503660688,0.0692883072851954
"112",0.135899993677447,0.0366157274038393,0.0957546897377028
"113",0.142844191524672,0.0361348852905838,0.0968016644880151
"114",0.133299181500833,0.0305332800595341,0.0705118536115227
"115",0.115549380803559,0.0285013293962155,0.0567280343781965
"116",0.102029163329004,0.0352514204040243,0.0713526685192844
"117",0.107909212393362,0.0345826869341718,0.0745969524307278
"118",0.185172715625535,0.0365378564299827,0.123224692256174
"119",0.102790469651248,0.0286364600252179,0.0526661156120302
"120",0.128637662911875,0.0301887308309291,0.065455479282279
"121",0.123509421614854,0.036160183474138,0.0787818937063485
"122",0.11779477236392,0.0355840774642481,0.0828944734081758
"123",0.151818524412843,0.0301528224457434,0.0773740291731764
"124",0.114007404740626,0.0294893624639167,0.0589595303542897
"125",0.137860258681687,0.0364388998208888,0.0829664496981184
"126",0.0923970636374925,0.0315580622220841,0.0665291667723756
"127",0.116671046249198,0.0295870971695954,0.0612916678487838
"128",0.128872116531609,0.0375113262757075,0.0908594907012358
"129",0.084081735742679,0.0275275099478643,0.0482049438988398
"130",0.117206042519014,0.0288819862314125,0.0612112590048246
"131",0.144374994064339,0.0357622472600761,0.0888790084790382
"132",0.150591045523793,0.0363506752240123,0.0900899074516999
"133",0.145180748191935,0.0368946741265939,0.0981436348233266
"134",0.149505777415159,0.029658462401827,0.0823476330041034
"135",0.124422387305145,0.0298269132853766,0.0656800303425565
"136",0.0967717935287933,0.0295032707370445,0.0552662214092432
"137",0.0963109907431075,0.0332678662543871,0.0659441243977926
"138",0.134145533914708,0.030938725252788,0.07145721554429
"139",0.133436341995283,0.0312479197452307,0.0629297349516613
"140",0.118983607903761,0.0296748924982444,0.0627091819582482
"141",0.103140548845966,0.0297873783474144,0.0529880585414102
"142",0.123999770640652,0.0306934330481659,0.0608995684459983
"143",0.140250989183239,0.0316584658885756,0.0683539265210841
"144",0.166634691098444,0.0314558164759534,0.0765793499225282
"145",0.0926846859199762,0.0287973574717591,0.0536526703622298
"146",0.117256123007259,0.0290322403734106,0.0573288726180905
"147",0.13091749736843,0.0307282027308667,0.0709417781713547
"148",0.0910758268572497,0.0321056965939303,0.0655815980653362
"149",0.165640659039448,0.0370098898405464,0.0927103590620054
"150",0.13056881585084,0.0305194767078339,0.0666814206764722
"151",0.106238323468476,0.0355780221541891,0.0738268420645217
"152",0.118263568297416,0.0277086626086168,0.0653121486962776
"153",0.189102550731084,0.0363030041035401,0.111919441242832
"154",0.141465581700297,0.0312683584472282,0.0724462083036901
"155",0.117575235969306,0.0288976103205727,0.0625395177751821
"156",0.107886083829239,0.0300684600257885,0.0588155346674686
"157",0.146961407674651,0.0357150000483847,0.0916658064721617
"158",0.131771096790869,0.0359843528106265,0.0830295654967205
"159",0.114080787162957,0.0344624495611873,0.0782571891882835
"160",0.125776309761049,0.0297460441168174,0.058551666335007
"161",0.123521183710159,0.0359124370991559,0.076679052976865
"162",0.132512232971644,0.0364083508479607,0.0840030849682269
"163",0.145947432658574,0.0318226214821383,0.0724417617074476
"164",0.116224713055953,0.0303198745273698,0.0566573076647518
"165",0.134091378649335,0.0360495240508016,0.0848877128541219
